1,{'tyres': ['Metal', 'Roller', 'Cushion', 'Crimson Slim'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Super Glider', 'Flower Glider', 'Parafoil'], 'vehicles': ['Standard Bike', 'Mach 8', 'Gold Standard', 'Jet Bike'], 'players': ['Oliver', 'Computer', 'Computer', 'Computer'], 'characters': ['Baby Luigi', 'Luigi', 'Roy', 'Larry'], 'handicaps before this game': [0.0, 0.0, 0.0, 0.0], 'team selection': 'random'}
283,{'tyres': ['Offroad', 'Roller', 'Crimson Slim', 'Slim'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Bowser Kite', 'MKTV Parafoil', 'Parafoil', 'Parachute'], 'vehicles': ['Landship', 'Landship', 'Cat Cruiser', 'Sport Bike'], 'players': ['Ian', 'Andy', 'Thomas', 'Uma'], 'characters': ['Bowser', 'Baby Mario', 'Baby Peach', 'Larry'], 'handicaps before this game': [7.75, 6.75, 4.0, 7.75], 'team selection': 'random'}
284,{'tyres': ['Button', 'Offroad', 'Retro Off-road', 'Cushion'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Flower Glider', 'Super Glider', 'Gold Glider', 'Parachute'], 'vehicles': ['Standard Quad', 'Tri-Speeder', 'Tri-Speeder', 'Buggybud'], 'players': ['Joe', 'Oliver', 'Arvinda', 'Eirik'], 'characters': ['Ludwig', 'Roy', 'Pink Gold Peach', 'Peach'], 'handicaps before this game': [5.75, 8.0, 2.75, 3.5], 'team selection': 'random'}
285,{'tyres': ['Slick', 'Offroad', 'GLA Tyres', 'Monster'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Peach Parasol', 'MKTV Parafoil', 'Wario Wing', 'Waddle Wing'], 'vehicles': ['Teddy Buggy', 'Pipe Frame', 'Standard Bike', 'Gold Standard'], 'players': ['Uma', 'Rob', 'Ian', 'Andy'], 'characters': ['Morton', 'Baby Rosalina', 'Roy', 'Wendy'], 'handicaps before this game': [7.5, 8.0, 8.0, 7.0], 'team selection': 'random'}
286,{'tyres': ['Slick', 'Sponge', 'Offroad', 'Monster'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Waddle Wing', 'Gold Glider', 'Cloud Glider', 'Super Glider'], 'vehicles': ['Mach 8', 'Mach 8', 'Pipe Frame', 'Standard Bike'], 'players': ['Rob', 'Uma', 'Ian', 'Andy'], 'characters': ['Shy Guy', 'Wendy', 'Wendy', 'Daisy'], 'handicaps before this game': [7.75, 7.25, 8.25, 7.25], 'team selection': 'random'}
287,{'tyres': ['Wooden', 'Normal Tyres', 'Azure Roller', 'Roller'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Parafoil', 'Flower Glider', 'Peach Parasol'], 'vehicles': ['Jet Bike', 'Badwagon', 'Mr. Scooty', 'Jet Bike'], 'players': ['Paulin', 'Eirik', 'Arvinda', 'Johan'], 'characters': ['Baby Luigi', 'Larry', 'Yoshi', 'Koopa Troopa'], 'handicaps before this game': [1.75, 3.75, 2.5, 6.0], 'team selection': 'random'}
288,{'tyres': ['Retro Off-road', 'Button', 'Cyber Slick', 'Sponge'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Waddle Wing', 'Wario Wing', 'Wario Wing', 'Waddle Wing'], 'vehicles': ['Mercedes 300 SL Roadster', 'Buggybud', 'Teddy Buggy', 'Teddy Buggy'], 'players': ['Oliver', 'Johan', 'Guy', 'Eirik'], 'characters': ['Koopa Troopa', 'Pink Gold Peach', 'Baby Luigi', 'Waluigi'], 'handicaps before this game': [7.75, 6.25, 3.75, 3.5], 'team selection': 'random'}
289,{'tyres': ['Offroad', 'Monster', 'GLA Tyres', 'Cushion'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Super Glider', 'Parafoil', 'Flower Glider', 'Waddle Wing'], 'vehicles': ['Sports Coupe', 'Wild Wiggler', 'Sport Bike', 'Wild Wiggler'], 'players': ['Guy', 'Eirik', 'Paulin', 'Johan'], 'characters': ['Luigi', 'Ludwig', 'Roy', 'Luigi'], 'handicaps before this game': [3.5, 3.75, 2.0, 6.0], 'team selection': 'random'}
290,{'tyres': ['GLA Tyres', 'Funky Monster', 'Crimson Slim', 'Wooden'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Gold Glider', 'Flower Glider', 'Plane Glider', 'Super Glider'], 'vehicles': ['Teddy Buggy', 'Tri-Speeder', 'Mercedes W 25 Silver Arrow', 'Cat Cruiser'], 'players': ['Rob', 'Uma', 'Andy', 'Joe'], 'characters': ['Morton', 'Iggy', 'Pink Gold Peach', 'Lemmy'], 'handicaps before this game': [7.75, 7.25, 7.25, 6.0], 'team selection': 'random'}
291,{'tyres': ['Sponge', 'Metal', 'Normal Blue', 'Slim'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Parachute', 'Waddle Wing', 'Cloud Glider'], 'vehicles': ['Bounder', 'Comet', 'Circuit Special', 'Prancer'], 'players': ['Thomas', 'Uma', 'Andy', 'Rob'], 'characters': ['Baby Luigi', 'Baby Luigi', 'Peach', 'Koopa Troopa'], 'handicaps before this game': [3.75, 7.25, 7.25, 7.75], 'team selection': 'random'}
292,{'tyres': ['Funky Monster', 'Wooden', 'Normal Blue', 'Button'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Parafoil', 'Bowser Kite', 'Parachute', 'MKTV Parafoil'], 'vehicles': ['Standard Quad', 'Mr. Scooty', 'Buggybud', 'Mercedes GLA'], 'players': ['Ian', 'Uma', 'Andy', 'Computer'], 'characters': ['Yoshi', 'Bowser', 'Koopa Troopa', 'Roy'], 'handicaps before this game': [8.25, 7.0, 7.5, 0.0], 'team selection': 'random'}
293,{'tyres': ['Monster', 'Slick', 'Retro Off-road', 'Slim'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Parafoil', 'Super Glider', 'Parafoil', 'Peach Parasol'], 'vehicles': ['Jet Bike', 'Comet', 'Badwagon', 'Flame Rider'], 'players': ['Andy', 'Uma', 'Rob', 'Thomas'], 'characters': ['Luigi', 'Lakitu', 'Wario', 'Ludwig'], 'handicaps before this game': [7.0, 6.5, 7.25, 3.75], 'team selection': 'random'}
294,{'tyres': ['Retro Off-road', 'Cyber Slick', 'Normal Tyres', 'Crimson Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Cloud Glider', 'Flower Glider', 'Gold Glider', 'Waddle Wing'], 'vehicles': ['Standard Kart', 'Mach 8', 'Sports Coupe', 'The Duke'], 'players': ['Joe', 'Uma', 'Andy', 'Ian'], 'characters': ['Metal Mario', 'Baby Rosalina', 'Baby Luigi', 'Toad'], 'handicaps before this game': [5.75, 6.25, 7.25, 8.25], 'team selection': 'random'}
295,{'tyres': ['Offroad', 'Sponge', 'Cushion', 'Cushion'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Parafoil', 'Waddle Wing', 'MKTV Parafoil'], 'vehicles': ['Varmint', 'Standard Kart', 'Circuit Special', 'Steel Driver'], 'players': ['Oliver', 'Johan', 'Eirik', 'Paulin'], 'characters': ['Larry', 'Metal Mario', 'Yoshi', 'Luigi'], 'handicaps before this game': [7.75, 5.5, 3.75, 2.0], 'team selection': 'random'}
296,{'tyres': ['Retro Off-road', 'Cushion', 'Wooden', 'Offroad'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Wario Wing', 'Plane Glider', 'Gold Glider', 'Wario Wing'], 'vehicles': ['Mr. Scooty', 'Flame Rider', 'Sport Bike', 'Bounder'], 'players': ['Andy', 'Rob', 'Ian', 'Thomas'], 'characters': ['Daisy', 'Mario', 'Toadette', 'Baby Rosalina'], 'handicaps before this game': [7.5, 7.0, 8.0, 4.0], 'team selection': 'random'}
297,{'tyres': ['Cyber Slick', 'Button', 'Monster', 'Normal Tyres'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Waddle Wing', 'Flower Glider', 'Parachute', 'Wario Wing'], 'vehicles': ['Mach 8', 'Jet Bike', 'Flame Rider', 'Comet'], 'players': ['Andy', 'Uma', 'Thomas', 'Ian'], 'characters': ['Baby Daisy', 'Peach', 'Toad', 'Yoshi'], 'handicaps before this game': [7.25, 6.5, 4.25, 8.25], 'team selection': 'random'}
298,{'tyres': ['Sponge', 'Roller', 'Normal Blue', 'Button'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Peach Parasol', 'Cloud Glider', 'Waddle Wing', 'Peach Parasol'], 'vehicles': ['Standard Kart', 'Comet', 'Standard Quad', 'Pipe Frame'], 'players': ['Arvinda', 'Paulin', 'Oliver', 'Johan'], 'characters': ['Baby Luigi', 'Bowser', 'Luigi', 'Pink Gold Peach'], 'handicaps before this game': [2.0, 1.75, 7.5, 5.75], 'team selection': 'random'}
299,{'tyres': ['Funky Monster', 'Cyber Slick', 'Wooden', 'Slick'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Wario Wing', 'Parafoil', 'Plane Glider'], 'vehicles': ['Buggybud', 'Sports Coupe', 'Steel Driver', 'Sports Coupe'], 'players': ['Eirik', 'Guy', 'Ian', 'Oliver'], 'characters': ['Pink Gold Peach', 'Lemmy', 'Daisy', 'Baby Peach'], 'handicaps before this game': [4.0, 3.0, 8.0, 7.75], 'team selection': 'random'}
300,{'tyres': ['Roller', 'Cushion', 'Button', 'Roller'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parafoil', 'Wario Wing', 'Plane Glider', 'Flower Glider'], 'vehicles': ['Steel Driver', 'Mercedes GLA', 'Buggybud', 'Mr. Scooty'], 'players': ['Rob', 'Thomas', 'Andy', 'Uma'], 'characters': ['Toad', 'Larry', 'Daisy', 'Donkey Kong'], 'handicaps before this game': [6.75, 4.5, 7.5, 6.25], 'team selection': 'random'}
301,{'tyres': ['Slick', 'Roller', 'Sponge', 'Azure Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Flower Glider', 'Super Glider', 'Peach Parasol', 'Parachute'], 'vehicles': ['Circuit Special', 'Jet Bike', 'Mercedes GLA', 'Pipe Frame'], 'players': ['Andy', 'Ian', 'Uma', 'Computer'], 'characters': ['Waluigi', 'Koopa Troopa', 'Lakitu', 'Baby Rosalina'], 'handicaps before this game': [7.5, 8.25, 6.25, 0.0], 'team selection': 'random'}
302,{'tyres': ['Slick', 'Slick', 'Monster', 'Slim'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Parachute', 'Parafoil', 'Cloud Glider', 'Parachute'], 'vehicles': ['Badwagon', 'Bounder', 'Comet', 'Mercedes GLA'], 'players': ['Will', 'Paulin', 'Oliver', 'Guy'], 'characters': ['Donkey Kong', 'Koopa Troopa', 'Rosalina', 'Daisy'], 'handicaps before this game': [3.5, 1.75, 7.75, 3.5], 'team selection': 'random'}
303,{'tyres': ['Cyber Slick', 'Slick', 'GLA Tyres', 'Cushion'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parafoil', 'Parafoil', 'Flower Glider', 'Wario Wing'], 'vehicles': ['Tri-Speeder', 'Mr. Scooty', 'Mach 8', 'Mercedes W 25 Silver Arrow'], 'players': ['Uma', 'Andy', 'Ian', 'Rob'], 'characters': ['Toadette', 'Luigi', 'Baby Peach', 'Donkey Kong'], 'handicaps before this game': [6.75, 8.0, 8.25, 7.0], 'team selection': 'random'}
304,{'tyres': ['Retro Off-road', 'Cyber Slick', 'Sponge', 'Slick'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['MKTV Parafoil', 'Gold Glider', 'Cloud Glider', 'Bowser Kite'], 'vehicles': ['Tri-Speeder', 'Standard Quad', 'Mercedes GLA', 'Sports Coupe'], 'players': ['Oliver', 'Simon', 'Johan', 'Joe'], 'characters': ['Baby Daisy', 'Mario', 'Larry', 'Daisy'], 'handicaps before this game': [8.0, 3.25, 6.25, 5.75], 'team selection': 'random'}
305,{'tyres': ['Offroad', 'GLA Tyres', 'Funky Monster', 'Normal Blue'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Flower Glider', 'Gold Glider', 'Flower Glider', 'Cloud Glider'], 'vehicles': ['Yoshi Bike', 'Buggybud', 'The Duke', 'Jet Bike'], 'players': ['Andy', 'Rob', 'Ian', 'Thomas'], 'characters': ['Shy Guy', 'Toad', 'Daisy', 'Yoshi'], 'handicaps before this game': [7.75, 6.75, 8.5, 4.75], 'team selection': 'random'}
306,{'tyres': ['Normal Tyres', 'GLA Tyres', 'Offroad', 'Normal Tyres'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Gold Glider', 'Bowser Kite', 'Parafoil', 'Cloud Glider'], 'vehicles': ['Flame Rider', 'Gold Standard', 'Flame Rider', 'Sport Bike'], 'players': ['Oliver', 'Paulin', 'Joe', 'Guy'], 'characters': ['Baby Daisy', 'Baby Mario', 'Toad', 'Luigi'], 'handicaps before this game': [7.75, 1.5, 6.0, 3.25], 'team selection': 'random'}
307,{'tyres': ['Cushion', 'Normal Blue', 'Retro Off-road', 'Crimson Slim'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Wario Wing', 'MKTV Parafoil', 'Parafoil'], 'vehicles': ['Cat Cruiser', 'Wild Wiggler', 'Flame Rider', 'Varmint'], 'players': ['Uma', 'Ian', 'Rob', 'Computer'], 'characters': ['Baby Daisy', 'Mario', 'Wendy', 'Peach'], 'handicaps before this game': [7.0, 8.75, 7.0, 0.0], 'team selection': 'random'}
308,{'tyres': ['GLA Tyres', 'Azure Roller', 'Button', 'Slick'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Plane Glider', 'Bowser Kite', 'Cloud Glider', 'Waddle Wing'], 'vehicles': ['Teddy Buggy', 'Mercedes GLA', 'Mercedes 300 SL Roadster', 'Standard Bike'], 'players': ['Ian', 'Joe', 'Andy', 'Uma'], 'characters': ['Larry', 'Wendy', 'Baby Peach', 'Yoshi'], 'handicaps before this game': [8.75, 6.25, 7.5, 7.0], 'team selection': 'random'}
309,{'tyres': ['Cushion', 'Cushion', 'Button', 'Wooden'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Parafoil', 'Flower Glider', 'Cloud Glider', 'Cloud Glider'], 'vehicles': ['Comet', 'Buggybud', 'Flame Rider', 'Mr. Scooty'], 'players': ['Oliver', 'Paulin', 'Guy', 'Johan'], 'characters': ['Roy', 'Rosalina', 'Larry', 'Peach'], 'handicaps before this game': [7.5, 1.75, 3.0, 6.5], 'team selection': 'random'}
310,{'tyres': ['Retro Off-road', 'Cushion', 'Cyber Slick', 'Metal'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Waddle Wing', 'Waddle Wing', 'Bowser Kite', 'Bowser Kite'], 'vehicles': ['Circuit Special', 'Mercedes W 25 Silver Arrow', 'Badwagon', 'Pipe Frame'], 'players': ['Rob', 'Uma', 'Thomas', 'Andy'], 'characters': ['Baby Rosalina', 'Baby Luigi', 'Baby Daisy', 'Baby Daisy'], 'handicaps before this game': [7.0, 7.25, 4.5, 7.25], 'team selection': 'random'}
311,{'tyres': ['Cushion', 'Sponge', 'Button', 'Metal'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Peach Parasol', 'Plane Glider', 'Super Glider', 'Parachute'], 'vehicles': ['Steel Driver', 'Sport Bike', 'Wild Wiggler', 'Gold Standard'], 'players': ['Thomas', 'Andy', 'Ian', 'Uma'], 'characters': ['Baby Luigi', 'Waluigi', 'Baby Luigi', 'Peach'], 'handicaps before this game': [4.25, 7.5, 9.0, 7.0], 'team selection': 'random'}
312,{'tyres': ['Slick', 'Slick', 'Retro Off-road', 'Normal Blue'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Plane Glider', 'Wario Wing', 'Super Glider', 'Waddle Wing'], 'vehicles': ['Sports Coupe', 'Cat Cruiser', 'Tri-Speeder', 'Yoshi Bike'], 'players': ['Joe', 'Johan', 'Guy', 'Oliver'], 'characters': ['Daisy', 'Koopa Troopa', 'Wendy', 'Shy Guy'], 'handicaps before this game': [6.0, 6.75, 3.25, 7.25], 'team selection': 'random'}
313,{'tyres': ['Wooden', 'Crimson Slim', 'Metal', 'Roller'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['MKTV Parafoil', 'Peach Parasol', 'Wario Wing', 'Peach Parasol'], 'vehicles': ['Tri-Speeder', 'Standard Quad', 'Cat Cruiser', 'Standard Quad'], 'players': ['Ian', 'Rob', 'Uma', 'Computer'], 'characters': ['Larry', 'Waluigi', 'Larry', 'Iggy'], 'handicaps before this game': [8.75, 7.25, 6.75, 0.0], 'team selection': 'random'}
314,{'tyres': ['Button', 'Retro Off-road', 'GLA Tyres', 'Funky Monster'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Cloud Glider', 'Gold Glider', 'Flower Glider', 'MKTV Parafoil'], 'vehicles': ['Standard Bike', 'Standard Quad', 'Mercedes W 25 Silver Arrow', 'Pipe Frame'], 'players': ['Rob', 'Uma', 'Ian', 'Eirik'], 'characters': ['Baby Mario', 'Metal Mario', 'Lemmy', 'Roy'], 'handicaps before this game': [7.25, 6.75, 8.75, 4.0], 'team selection': 'random'}
315,{'tyres': ['Slick', 'Monster', 'Azure Roller', 'Roller'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parachute', 'Bowser Kite', 'Waddle Wing', 'MKTV Parafoil'], 'vehicles': ['Standard Quad', 'Comet', 'Standard Bike', 'Jet Bike'], 'players': ['Andy', 'Ian', 'Uma', 'Thomas'], 'characters': ['Wario', 'Lakitu', 'Mario', 'Iggy'], 'handicaps before this game': [7.75, 8.5, 6.5, 4.5], 'team selection': 'random'}
316,{'tyres': ['Monster', 'Button', 'Wooden', 'Retro Off-road'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Gold Glider', 'Parafoil', 'MKTV Parafoil', 'Cloud Glider'], 'vehicles': ['Teddy Buggy', 'Flame Rider', 'Buggybud', 'Pipe Frame'], 'players': ['Oliver', 'Guy', 'Johan', 'Paulin'], 'characters': ['Wendy', 'Wendy', 'Bowser', 'Rosalina'], 'handicaps before this game': [7.5, 3.0, 7.0, 1.5], 'team selection': 'random'}
317,{'tyres': ['Normal Blue', 'GLA Tyres', 'Normal Blue', 'Offroad'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Wario Wing', 'Flower Glider', 'Cloud Glider', 'MKTV Parafoil'], 'vehicles': ['Mercedes W 25 Silver Arrow', 'Prancer', 'Mercedes 300 SL Roadster', 'Circuit Special'], 'players': ['Ian', 'Andy', 'Rob', 'Uma'], 'characters': ['Rosalina', 'Ludwig', 'Rosalina', 'Larry'], 'handicaps before this game': [8.25, 8.0, 7.5, 6.75], 'team selection': 'random'}
318,{'tyres': ['Slim', 'Slim', 'Button', 'Normal Blue'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Parafoil', 'Flower Glider', 'Waddle Wing', 'Cloud Glider'], 'vehicles': ['Teddy Buggy', 'Comet', 'Flame Rider', 'Sport Bike'], 'players': ['Rob', 'Ian', 'Andy', 'Uma'], 'characters': ['Waluigi', 'Wario', 'Koopa Troopa', 'Metal Mario'], 'handicaps before this game': [7.5, 8.25, 8.0, 6.75], 'team selection': 'random'}
319,{'tyres': ['Sponge', 'Normal Tyres', 'Azure Roller', 'GLA Tyres'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Peach Parasol', 'Plane Glider', 'Bowser Kite', 'Plane Glider'], 'vehicles': ['Pipe Frame', 'Tri-Speeder', 'Wild Wiggler', 'Tri-Speeder'], 'players': ['Oliver', 'Johan', 'Paulin', 'Guy'], 'characters': ['Pink Gold Peach', 'Toad', 'Toad', 'Morton'], 'handicaps before this game': [7.25, 7.25, 1.75, 2.75], 'team selection': 'random'}
320,{'tyres': ['Retro Off-road', 'Sponge', 'Slim', 'Azure Roller'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Peach Parasol', 'Cloud Glider', 'Plane Glider', 'Wario Wing'], 'vehicles': ['Circuit Special', 'Standard Kart', 'Varmint', 'Varmint'], 'players': ['Joe', 'Uma', 'Ian', 'Andy'], 'characters': ['Daisy', 'Baby Luigi', 'Yoshi', 'Lemmy'], 'handicaps before this game': [5.75, 6.75, 8.25, 8.0], 'team selection': 'random'}
321,{'tyres': ['Wooden', 'Sponge', 'Roller', 'Metal'], 'team colours': ['blue', 'red', 'blue', 'red'], 'gliders': ['Parafoil', 'Waddle Wing', 'Bowser Kite', 'MKTV Parafoil'], 'vehicles': ['Mercedes 300 SL Roadster', 'Teddy Buggy', 'Standard Quad', 'Mach 8'], 'players': ['Guy', 'Eirik', 'Oliver', 'Simon'], 'characters': ['Wendy', 'Lakitu', 'Mario', 'Rosalina'], 'handicaps before this game': [2.5, 4.25, 7.5, 3.0], 'team selection': 'random'}
322,{'tyres': ['Button', 'Crimson Slim', 'Monster', 'Retro Off-road'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Flower Glider', 'Plane Glider', 'Super Glider', 'Parachute'], 'vehicles': ['Circuit Special', 'Jet Bike', 'Yoshi Bike', 'Mercedes GLA'], 'players': ['Joe', 'Eirik', 'Thomas', 'Johan'], 'characters': ['Pink Gold Peach', 'Roy', 'Luigi', 'Baby Rosalina'], 'handicaps before this game': [5.75, 4.0, 4.25, 7.5], 'team selection': 'random'}
323,{'tyres': ['Offroad', 'Funky Monster', 'Sponge', 'Monster'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Plane Glider', 'Wario Wing', 'Wario Wing', 'Gold Glider'], 'vehicles': ['Comet', 'Standard Quad', 'Mercedes W 25 Silver Arrow', 'Landship'], 'players': ['Rob', 'Uma', 'Ian', 'Guy'], 'characters': ['Toad', 'Ludwig', 'Daisy', 'Yoshi'], 'handicaps before this game': [7.5, 6.75, 8.25, 2.75], 'team selection': 'random'}
324,{'tyres': ['Slick', 'Azure Roller', 'Wooden', 'Normal Blue'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Waddle Wing', 'Hylian Kite', 'Gold Glider', 'Waddle Wing'], 'vehicles': ['Teddy Buggy', 'Cat Cruiser', 'Master Cycle', 'Mach 8'], 'players': ['Ian', 'Uma', 'Thomas', 'Andy'], 'characters': ['Baby Rosalina', 'Toadette', 'Morton', 'Cat Peach'], 'handicaps before this game': [8.5, 7.0, 4.25, 8.0], 'team selection': 'random'}
325,{'tyres': ['Metal', 'Funky Monster', 'Normal Blue', 'Metal'], 'team colours': ['red', 'blue', 'blue', 'red'], 'gliders': ['Bowser Kite', 'Gold Glider', 'Super Glider', 'Plane Glider'], 'vehicles': ['Flame Rider', 'Tri-Speeder', 'Yoshi Bike', 'Master Cycle'], 'players': ['Uma', 'Oliver', 'Ian', 'Andy'], 'characters': ['Waluigi', 'Morton', 'Baby Mario', 'Donkey Kong'], 'handicaps before this game': [7.25, 7.75, 8.75, 7.75], 'team selection': 'random'}
326,{'tyres': ['GLA Tyres', 'TriForce Tyres', 'GLA Tyres', 'Normal Blue'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Super Glider', 'Hylian Kite', 'Hylian Kite', 'Parafoil'], 'vehicles': ['Comet', 'Sports Coupe', 'Buggybud', 'Steel Driver'], 'players': ['Andy', 'Thomas', 'Uma', 'Computer'], 'characters': ['Donkey Kong', 'Morton', 'Bowser', 'Baby Rosalina'], 'handicaps before this game': [8.0, 4.0, 7.5, 0.0], 'team selection': 'random'}
327,{'tyres': ['TriForce Tyres', 'Metal', 'GLA Tyres', 'Cushion'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Gold Glider', 'Wario Wing', 'Super Glider', 'Super Glider'], 'vehicles': ['Buggybud', 'Jet Bike', 'Mach 8', 'Pipe Frame'], 'players': ['Oliver', 'Guy', 'Johan', 'Joe'], 'characters': ['Wendy', 'Baby Luigi', 'Wendy', 'Morton'], 'handicaps before this game': [7.25, 2.25, 7.25, 5.5], 'team selection': 'random'}
328,{'tyres': ['Cyber Slick', 'Cyber Slick', 'Sponge', 'Azure Roller'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['MKTV Parafoil', 'Flower Glider', 'Hylian Kite', 'Peach Parasol'], 'vehicles': ['Landship', 'Standard Kart', 'B Dasher', 'Standard Kart'], 'players': ['Joe', 'Johan', 'Eirik', 'Oliver'], 'characters': ['Link', 'Lemmy', 'Morton', 'Link'], 'handicaps before this game': [5.25, 7.0, 3.75, 7.5], 'team selection': 'random'}
329,{'tyres': ['Button', 'Crimson Slim', 'Offroad', 'Funky Monster'], 'team colours': ['red', 'red', 'blue', 'blue'], 'gliders': ['Plane Glider', 'Wario Wing', 'Wario Wing', 'Waddle Wing'], 'vehicles': ['Comet', 'Sports Coupe', 'Blue Falcon', 'Jet Bike'], 'players': ['Uma', 'Thomas', 'Guy', 'Andy'], 'characters': ['Donkey Kong', 'Waluigi', 'Toad', 'Rosalina'], 'handicaps before this game': [7.0, 4.0, 2.5, 7.5], 'team selection': 'random'}
330,{'tyres': ['Azure Roller', 'Monster', 'Wooden', 'Normal Tyres'], 'team colours': ['blue', 'blue', 'red', 'red'], 'gliders': ['Flower Glider', 'Gold Glider', 'Super Glider', 'Parachute'], 'vehicles': ['Varmint', 'Mercedes 300 SL Roadster', 'Blue Falcon', 'Varmint'], 'players': ['Rob', 'Uma', 'Andy', 'Thomas'], 'characters': ['Baby Luigi', 'Yoshi', 'Daisy', 'Tanooki Mario'], 'handicaps before this game': [7.0, 7.25, 7.25, 4.25], 'team selection': 'random'}
331,{'tyres': ['Wooden', 'Roller', 'Monster', 'Sponge'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Flower Glider', 'Parachute', 'Plane Glider', 'Super Glider'], 'vehicles': ['B Dasher', 'Standard Bike', 'The Duke', 'Circuit Special'], 'players': ['Joe', 'Johan', 'Oliver', 'Guy'], 'characters': ['Wendy', 'Rosalina', 'Toadette', 'Wendy'], 'handicaps before this game': [5.0, 6.75, 7.75, 2.25], 'team selection': 'random'}
332,{'tyres': ['Slim', 'Azure Roller', 'Retro Off-road', 'Sponge'], 'team colours': ['red', 'blue', 'red', 'blue'], 'gliders': ['Wario Wing', 'Hylian Kite', 'Hylian Kite', 'Waddle Wing'], 'vehicles': ['Landship', 'Mercedes GLA', 'Tri-Speeder', 'Yoshi Bike'], 'players': ['Joe', 'Andy', 'Rob', 'Uma'], 'characters': ['Wario', 'Shy Guy', 'Bowser', 'Toadette'], 'handicaps before this game': [5.25, 7.5, 6.75, 7.0], 'team selection': 'random'}
333,{'tyres': ['GLA Tyres', 'Azure Roller', 'GLA Tyres', 'Sponge'], 'team colours': ['blue', 'red', 'red', 'blue'], 'gliders': ['Parafoil', 'Wario Wing', 'Hylian Kite', 'Peach Parasol'], 'vehicles': ['Flame Rider', 'Flame Rider', 'Mercedes 300 SL Roadster', 'Sport Bike'], 'players': ['Andy', 'Joe', 'Thomas', 'Uma'], 'characters': ['Cat Peach', 'Yoshi', 'Rosalina', 'Pink Gold Peach'], 'handicaps before this game': [7.25, 5.5, 4.5, 6.75], 'team selection': 'random'}
